2023-01-10 21:17:20 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:17:21 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-10 21:17:21 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-10 21:17:21 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> css selector: input.btn]
2023-01-10 21:17:21 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> css selector: input.btn]
2023-01-10 21:17:21 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-10 21:17:21 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-10 21:17:21 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:17:21 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:17:21 INFO  CustomListener:22 - Test execution has passed for : loginVerify
2023-01-10 21:17:23 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:26 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:26 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-10 21:17:26 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:17:26 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:17:26 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:17:26 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:17:26 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:17:26 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:17:26 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:27 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:27 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:17:27 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:17:27 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-10 21:17:27 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:17:27 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-10 21:17:27 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-10 21:17:27 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> css selector: input.btn]
2023-01-10 21:17:28 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> css selector: input.btn]
2023-01-10 21:17:28 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-10 21:17:28 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-10 21:17:28 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:17:28 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (c08b0da67d1f9fb2dea5fe20ec1f0b68)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:17:28 INFO  CustomListener:22 - Test execution has passed for : loginVerify
2023-01-10 21:17:30 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:33 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:33 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-10 21:17:33 INFO  RetryLogic:20 - Running a failed test 1 times
2023-01-10 21:17:36 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:38 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:38 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-10 21:17:38 INFO  RetryLogic:20 - Running a failed test 2 times
2023-01-10 21:17:41 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:44 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:44 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-10 21:17:44 INFO  RetryLogic:20 - Running a failed test 3 times
2023-01-10 21:17:46 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:49 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:49 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-10 21:17:49 ERROR CustomListener:28 - Test execution failed and taking screen shot: testSomething
2023-01-10 21:39:20 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:39:23 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:39:23 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:39:23 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:39:23 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:39:23 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:39:23 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:39:23 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:39:23 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> xpath: //a[text()='Login']]
2023-01-10 21:39:24 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> xpath: //a[text()='Login']]
2023-01-10 21:39:24 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:39:24 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:39:24 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-10 21:39:24 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:39:24 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-10 21:39:24 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-10 21:39:24 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> css selector: input.btn]
2023-01-10 21:39:25 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> css selector: input.btn]
2023-01-10 21:39:25 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-10 21:39:25 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-10 21:39:25 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:39:25 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (79ac3f81a7c420ff09067476d69c7b11)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:39:25 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-10 21:39:37 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:39:39 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:39:39 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:39:39 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:39:39 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:39:39 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:39:39 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:39:39 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:39:39 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> xpath: //a[text()='Login']]
2023-01-10 21:39:40 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> xpath: //a[text()='Login']]
2023-01-10 21:39:40 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:39:40 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:39:40 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-10 21:39:40 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:39:40 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-10 21:39:40 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
